Variety,Quantity,Usage,Period
Kolikuttu,3401,Make breakfast cereals,January-December
Ambul Kesel,1871,Banana chips ( both sweetened and unsweetened),November-January
Puwalu,1855,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Seeni Parakum,4909,Make breakfast cereals,January-December
Ambum,1986,Make natural remedies,November-January
Seeni Parakum,692,Make single use plastic alternatives,November-January
Seeni Parakum,3527,Make high quality acid free paper from banana stems and leaves,November-January
Rath Kesel,3582,Make banana oils are used in cosmatic industry,November-January
Ambul Nadee,1943,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Green Banana,1597,Banana flavored craft beers,January-December
Kolikuttu,1655,Give CBL to make Waffers Biscuits,January-December
Suwandal,1007,Textile industry- make banana fibers,November-January
Ambum,4552,cosmetic industry- Make haircare treatments with banana extracts,November-January
Ambum,1446,make banana silk which is eco friendly and biodegradable,January-December
Ambum,2261,Make high quality acid free paper from banana stems and leaves,January-December
Kandula,1138,Make banana oils are used in cosmatic industry,November-January
Anamalu,1257,Make banana oils are used in cosmatic industry,January-December
Anamalu,248,Make high quality acid free paper from banana stems and leaves,January-December
Kolikuttu,2044,Banana candies,November-January
Suwandal,2402,Banana chocolates and sweets,November-January
Ambul Nadee,2931,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Kandula,4119,Banana chocolates and sweets,November-January
Kolikuttu,3588,cosmetic industry- Make haircare treatments with banana extracts,January-December
Puwalu,2512,Make natural remedies,January-December
Seeni Parakum,1754,Banana flavored craft beers,November-January
Ambum,4924,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Seeni Parakum,850,Make bioplastics,November-January
Rath Kesel,4858,Make organic fertilizers,January-December
Ambul Kesel,3197,Make natural remedies,November-January
Ambul Nadee,2726,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Anamalu,3565,Make breakfast cereals,January-December
Ambul Nadee,3648,Make innorganic fertilizers,November-January
Puwalu,2838,Make natural remedies,November-January
Ambul Nadee,3033,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kolikuttu,4300,Make single use plastic alternatives,November-January
Ambum,2241,Make tea bags and filters,November-January
Puwalu,4011,cosmetic industry- Make haircare treatments with banana extracts,November-January
Rath Kesel,3546,Make banana oils are used in cosmatic industry,November-January
Rath Kesel,4843,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Nethra Palam,735,make banana silk which is eco friendly and biodegradable,November-January
Sini Kesel,1584,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Puwalu,4008,make banana silk which is eco friendly and biodegradable,January-December
Puwalu,896,Make single use plastic alternatives,November-January
Kandula,329,Textile industry- make banana fibers,January-December
Anamalu,3811,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Rath Kesel,2738,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kandula,4924,Make tea bags and filters,November-January
Anamalu,4421,Banana chocolates and sweets,January-December
Kolikuttu,4016,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,1623,Banana candies,January-December
Ambum,3035,Make tea bags and filters,November-January
Rath Kesel,1321,Make single use plastic alternatives,January-December
Seeni Parakum,4668,Make tea bags and filters,November-January
Ambul Kesel,4216,Make high quality acid free paper from banana stems and leaves,January-December
Suwandal,2043,Banana candies,January-December
Sini Kesel,4989,Textile industry- make banana fibers,January-December
Suwandal,3624,Make single use plastic alternatives,January-December
Seeni Parakum,1603,Make tea bags and filters,November-January
Ambul Kesel,4218,Make single use plastic alternatives,January-December
Nethra Palam,4874,Give CBL to make Waffers Biscuits,January-December
Green Banana,2550,Banana candies,January-December
Anamalu,115,Food industry-desserts varieties,January-December
Rath Kesel,4962,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambum,1498,Make organic fertilizers,November-January
Suwandal,3581,Textile industry- make banana fibers,January-December
Puwalu,69,Banana chips ( both sweetened and unsweetened),January-December
Seeni Parakum,675,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Puwalu,1567,Textile industry- make banana fibers,November-January
Ambul Kesel,1847,dehydrated banana chips,November-January
Suwandal,4283,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Seeni Parakum,413,Make jam and sugary products to the local market,January-December
Seeni Parakum,2504,Make single use plastic alternatives,January-December
Green Banana,498,Bakery industry- Banana breads and banana cakes,November-January
Green Banana,1489,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Sini Kesel,3570,Make bioplastics,January-December
Puwalu,3660,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Puwalu,4541,Make tea bags and filters,November-January
Kolikuttu,241,Banana candies,November-January
Nethra Palam,1886,Make breakfast cereals,January-December
Kandula,885,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,447,Banana candies,January-December
Rath Kesel,2727,Food industry-desserts varieties,November-January
Ambum,2489,Banana chocolates and sweets,November-January
Puwalu,1669,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kandula,176,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambum,357,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Sini Kesel,245,Give CBL to make Waffers Biscuits,January-December
Ambul Kesel,1394,Make natural remedies,November-January
Anamalu,605,Make tea bags and filters,January-December
Nethra Palam,1446,cosmetic industry- Make haircare treatments with banana extracts,January-December
Sini Kesel,1056,Make organic fertilizers,November-January
Kolikuttu,3641,Make jam and sugary products to the local market,January-December
Nethra Palam,742,Make innorganic fertilizers,January-December
Sini Kesel,2601,Export to USA as fresh banana,January-December
Nethra Palam,4582,Make tea bags and filters,November-January
Suwandal,3876,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Sini Kesel,4874,Make natural remedies,November-January
Nethra Palam,3405,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,2754,Food industry-desserts varieties,November-January
Puwalu,4138,Make organic fertilizers,November-January
Sini Kesel,849,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kandula,3630,Food industry-desserts varieties,January-December
Kolikuttu,250,Make natural remedies,November-January
Nethra Palam,1282,Bakery industry- Banana breads and banana cakes,January-December
Green Banana,2176,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Rath Kesel,382,Food industry-desserts varieties,November-January
Kolikuttu,2030,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Kesel,3957,Give CBL to make Waffers Biscuits,January-December
Puwalu,694,Make breakfast cereals,November-January
Rath Kesel,4133,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambum,3390,dehydrated banana chips,January-December
Puwalu,4114,Make tea bags and filters,January-December
Ambul Nadee,3641,Banana candies,January-December
Ambul Kesel,1969,cosmetic industry- Make haircare treatments with banana extracts,November-January
Ambul Kesel,4036,Textile industry- make banana fibers,January-December
Nethra Palam,3184,Banana flavored craft beers,January-December
Puwalu,915,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Seeni Parakum,1575,Make innorganic fertilizers,January-December
Seeni Parakum,4037,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambum,423,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Puwalu,4664,Make jam and sugary products to the local market,November-January
Kolikuttu,2911,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Nadee,2792,Banana chocolates and sweets,January-December
Sini Kesel,942,Make jam and sugary products to the local market,January-December
Kolikuttu,3108,Make breakfast cereals,November-January
Sini Kesel,2190,Textile industry- make banana fibers,November-January
Ambul Kesel,4924,Banana chocolates and sweets,November-January
Green Banana,3971,Make breakfast cereals,January-December
Kandula,2107,Make breakfast cereals,January-December
Suwandal,3270,dehydrated banana chips,January-December
Anamalu,3533,Make tea bags and filters,November-January
Kolikuttu,3628,dehydrated banana chips,November-January
Green Banana,4565,make banana silk which is eco friendly and biodegradable,January-December
Sini Kesel,4597,Give CBL to make Waffers Biscuits,November-January
Kolikuttu,851,Bakery industry- Banana breads and banana cakes,November-January
Puwalu,4840,make banana silk which is eco friendly and biodegradable,November-January
Puwalu,2539,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Nadee,220,Export to USA as fresh banana,November-January
